trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-27.540764884794886,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-86.13733223113856,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-114.0933997737285,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-132.93792332641422,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-75.49656447041505,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-0.17588589429846557,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-178.24232600952013,"{0: 19, 1: 3, 2: 3, 3: 2, 4: 3}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,3,-27.17374229241306,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-3.6969491078091985,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-2.7598558851249515,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-80.26642144537226,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-33.55210673751187,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-17.17464011867943,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-63.8042987269812,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-52.05305840745278,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,5,-22.73239306527907,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-12.788699764676736,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,19,21.34016702817524,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,2,-6.775480948798924,"{0: 21, 1: 0, 2: 0, 3: 2, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,12,23.89313193493649,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,19,19.28972081381423,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,9,-28.220096957139354,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",25,16,15.743243384289139,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,13,22.255469873443815,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,6,20.92062982332618,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,19,19.80564430836478,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,8,36.73994143860176,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,13,-17.732332135325965,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",30,5,-4.848377649946914,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",20,0,18.205474790301686,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
