trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",25,0,-123.83300368832847,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.990025}",20,0,-148.60589124216696,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.985074875}",30,0,-160.67754362618206,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9801495006250001}",20,0,-138.39138423113647,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9752487531218751}",20,0,-113.72711729041126,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9703725093562657}",35,0,-162.52025185203138,"{0: 23, 1: 0, 2: 7, 3: 4, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9655206468094844}",30,0,-346.2845637577784,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 6}",0
8,False,"{'a': 0.5, 'e': 0.960693043575437}",20,0,-66.9865975315763,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9558895783575597}",25,6,-105.03940545145798,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.9511101304657719}",25,0,-63.06034009517287,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.946354579813443}",20,0,-92.07362040808528,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9416228069143757}",20,0,-46.59661942753107,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9369146928798039}",25,3,-97.43927694087638,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.9322301194154049}",25,0,-176.81993616747033,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.9275689688183278}",25,0,-40.14519859881439,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9229311239742362}",30,0,-81.70628240444567,"{0: 20, 1: 6, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.918316468354365}",30,0,-113.93394258219026,"{0: 18, 1: 6, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9137248860125932}",20,14,5.273413330941659,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.9091562615825302}",25,0,-134.21223848056937,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9046104802746175}",25,3,-43.920972871112966,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.9000874278732445}",30,0,-74.15586875330936,"{0: 20, 1: 2, 2: 7, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8955869907338783}",25,6,-165.91841250182523,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 3}",1
