trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-23.394909794253085,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-199.31312846253115,"{0: 22, 1: 2, 2: 6, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-185.75246649071087,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,0,-211.5166954221805,"{0: 19, 1: 3, 2: 8, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-228.22675883231153,"{0: 12, 1: 4, 2: 4, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-167.68454577684537,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-112.98229263702889,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,7,-106.12313169217187,"{0: 6, 1: 3, 2: 2, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-115.34491925612065,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-106.81421262095364,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-82.12984831899954,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-54.55820728674614,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,14,-69.81551980527028,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-53.85838610216981,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-104.44100880190136,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-143.1222680796376,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-51.29301573246766,"{0: 18, 1: 4, 2: 1, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",35,0,-150.8667039175585,"{0: 24, 1: 2, 2: 5, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-153.17233395601338,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-131.44637420886647,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",30,14,-79.02170125275264,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",25,0,-127.6539864176662,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,5,-121.5289520478696,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",1
4,True,"{'a': 0, 'e': 0}",25,0,-132.97710560034875,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,0,-202.67175943552783,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,4,-62.88901021357686,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,0,-190.9591279674107,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",25,0,-153.98204767183952,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-65.07020489168303,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-183.45666361911537,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
